t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,T,wx_cmd,wy_cmd,wz_cmd,solve_ms,t_progress,px_ref,py_ref,pz_ref,qw_ref,qx_ref,qy_ref,qz_ref
0,2.5,0,1.5,0,0,0,0.973249,0,-0,0.229753,0,0,0,28.9296,0.696382,-0.58693,0.163599,0.626486,0,2.5,0,1.5,0.973249,0,-0,0.229753
0.01,2.5,-3.38798e-07,1.50089,-2.99502e-05,-0.000124227,0.17742,0.973221,0.000608197,-0.00030779,0.229872,0.19738,-0.166357,0.0463699,31.9475,0.622147,20,1.33322,0.321176,0.01,2.54,0.0199991,1.518,0.973087,0.00226248,-0.0018909,0.230421
0.02,2.50001,-1.21143e-06,1.50369,0.00260366,0.000432547,0.383554,0.972848,-0.00140195,0.0138702,0.231025,0.317774,5.54952,0.411108,10.8008,0.301516,6.66863,-0.285363,0.363684,0.02,2.58,0.0399932,1.53599,0.972923,0.00457047,-0.0038252,0.231052
0.03,2.50005,1.16843e-05,1.50755,0.00798338,0.00253877,0.388142,0.971699,-0.00645449,0.0420352,0.232361,0.313166,5.86671,0.213703,33.124,0.354854,18.3502,0.429555,0.398583,0.03,2.61999,0.059977,1.55395,0.972759,0.00692472,-0.00580356,0.231644
0.04,2.50029,0.000102563,1.51251,0.043007,0.0172874,0.603131,0.969069,-0.0138327,0.079955,0.23307,0.324982,9.40499,0.274883,22.1855,0.469445,14.9359,0.195595,0.295579,0.04,2.65997,0.0799454,1.57189,0.972592,0.00932597,-0.00782661,0.232198
0.05,2.50091,0.000357657,1.51909,0.0837372,0.0352231,0.711488,0.963427,-0.023953,0.129832,0.233193,0.365928,10.9726,0.25241,34.5877,0.433001,14.1135,0.390182,0.335571,0.05,2.69995,0.0998934,1.58978,0.972425,0.0117749,-0.00989491,0.23271
0.06,2.50219,0.00091099,1.52728,0.1785,0.0779989,0.925768,0.95415,-0.0352602,0.185181,0.232512,0.384939,11.8629,0.29146,34.9293,0.471131,12.0011,0.305505,0.29953,0.06,2.73991,0.119816,1.60763,0.972255,0.0142722,-0.012009,0.233179
0.07,2.50459,0.00197228,1.53757,0.306873,0.136842,1.12865,0.941196,-0.0468366,0.242028,0.231037,0.409369,11.902,0.295441,39.374,0.519216,9.93527,0.346685,0.279553,0.07,2.77985,0.139707,1.62541,0.972083,0.0168184,-0.0141692,0.233603
0.08,2.50853,0.00374321,1.54997,0.486589,0.220023,1.34874,0.92532,-0.0577889,0.296777,0.228839,0.440503,11.3446,0.309965,41.1984,0.56427,7.90302,0.348617,0.294043,0.08,2.81978,0.159563,1.64312,0.971909,0.0194141,-0.016376,0.233981
0.09,2.51448,0.0064448,1.56453,0.707191,0.322706,1.55819,0.907671,-0.0674972,0.347036,0.22615,0.475583,10.3691,0.320921,42.5101,0.600188,5.98695,0.368976,0.262563,0.09,2.85969,0.179379,1.66074,0.971733,0.0220597,-0.0186296,0.234312
0.1,2.52281,0.0102588,1.5811,0.963119,0.442119,1.74996,0.889546,-0.0755842,0.391359,0.223233,0.510901,9.12705,0.334541,42.827,0.636376,4.16436,0.380267,0.26124,0.1,2.89957,0.199148,1.67828,0.971553,0.0247558,-0.0209302,0.234592
0.11,2.53383,0.0153271,1.59945,1.24393,0.573088,1.91691,0.872179,-0.0818493,0.429013,0.220345,0.546465,7.72045,0.347502,42.5359,0.670135,2.43993,0.391738,0.320461,0.11,2.93943,0.218866,1.69571,0.971371,0.0275026,-0.0232777,0.23482
0.12,2.54774,0.021742,1.61934,1.54052,0.710978,2.05769,0.856631,-0.0862101,0.459736,0.217703,0.581518,6.22376,0.36004,41.4964,0.68983,0.913443,0.401759,0.302577,0.12,2.97926,0.238528,1.71303,0.971185,0.0303004,-0.0256722,0.234994
0.13,2.56464,0.0295467,1.64051,1.84275,0.850652,2.17242,0.843693,-0.0886845,0.483622,0.215471,0.612217,4.71862,0.371864,39.9726,0.704261,-0.502433,0.411088,0.28237,0.13,3.01906,0.258129,1.73022,0.970996,0.0331494,-0.0281135,0.235111
0.14,2.58456,0.0387387,1.6627,2.14281,0.98809,2.26401,0.833876,-0.0893541,0.500974,0.213757,0.638306,3.23879,0.382982,38.1505,0.717627,-1.83388,0.415244,0.284985,0.14,3.05883,0.277664,1.74729,0.970803,0.0360497,-0.0306011,0.23517
0.15,2.60745,0.0492805,1.68571,2.43499,1.12031,2.33664,0.827472,-0.0883145,0.512138,0.212615,0.660788,1.80101,0.392126,36.0828,0.724822,-3.06843,0.413896,0.288157,0.15,3.09856,0.297128,1.76421,0.970606,0.0390014,-0.0331348,0.235168
0.16,2.6332,0.0611076,1.70937,2.71471,1.24494,2.39449,0.824585,-0.0856663,0.51745,0.212052,0.678938,0.420833,0.398297,33.7037,0.718102,-4.16372,0.407041,0.323615,0.16,3.13825,0.316516,1.78097,0.970405,0.0420041,-0.0357137,0.235103
